tic_id,ra,dec,tmag
391902612,106.5680497401,-76.8392707703,11.862
426541180,244.9302687769,-72.2147936268,10.469
200921621,54.5230554423,36.1409917194,9.328
166773165,318.2565753045,38.9592307512,8.062
144695651,84.9439837304,8.1840941642,10.571
193948188,228.9991556301,50.5275986968,10.324
271893367,112.9656531028,-73.6061526526,10.903
286923464,203.5105809628,53.7285273246,7.456
178171080,43.2662065501,-31.4038521829,8.59
160148385,1.0464069721,-47.3606452586,11.912
436158814,83.9482406578,9.7638954299,12.872
219173590,91.316792387,-49.1243838901,9.61
117397619,48.3431971206,48.1086883316,7.494
103605167,151.2507884776,70.2292107755,8.46
144000467,336.263106016,-53.8102776928,8.231
255587619,96.8409026915,-53.1030809192,10.664
351287412,296.6696846867,52.9959672346,11.376
159573299,290.8067139289,42.3439416805,11.592
159047480,289.4051573726,44.5154817425,11.997
29478974,314.0816031958,-26.5885288582,10.619
24935204,350.4112130687,49.3867509582,10.557
197887879,57.385108,-55.348746,9.328
248074315,192.959228834,-42.8222517624,10.31
270411008,349.4030181938,-29.1721462926,9.736
230017324,291.4651495863,61.7762529452,10.636
177077475,103.2067688903,-70.4303053124,10.176
288027491,135.8619408411,-75.5029013266,10.206
