target,tic_id,planet,expected_period_days,expected_depth_ppm,tmag,source_rowupdate,purpose,sector,sectors,author,cadence_seconds,observed_baseline_days,expected_transits
TIC 62483237,62483237,TOI-139 b,11.07085,1033.11,9.364,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,1,1;28;68,SPOC,120,81,7.32
TIC 66561343,66561343,TOI-892 b,10.62656,6257.68,10.97,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,50.84,4.78
TIC 70440470,70440470,TOI-126.01,3.0354017,16196.2,12.79,catalog_toi_pl_trandep,survey-wide known-planet recovery rate,95,95,SPOC,120,21.92,7.22
TIC 70899085,70899085,LP 714-47 b,4.052032,5284.33,10.73,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,5,5;32,SPOC,120,54,13.33
TIC 73228647,73228647,TOI-755.02,6.7418796,450.542,9.463,catalog_toi_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,23.38,3.47
TIC 73649615,73649615,TOI-756 b,1.2392495,2602.38,12.56,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,23.38,18.87
TIC 76923707,76923707,TOI-181 b,4.532,7300,10.47,catalog_pl_trandep,survey-wide known-planet recovery rate,96,96,SPOC,120,22.13,4.88
TIC 77031414,77031414,WASP-173 A b,1.3866532,12300,10.96,catalog_pl_trandep,survey-wide known-planet recovery rate,96,96,SPOC,120,22.17,15.99
TIC 77044471,77044471,HATS-16 b,2.686502,11644.5,13.26,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,96,96,SPOC,120,22.12,8.24
TIC 77156657,77156657,WASP-159 b,3.840401,4530,11.88,catalog_pl_trandep,survey-wide known-planet recovery rate,98,98,SPOC,120,51.42,13.39
TIC 77156829,77156829,LHS 1678 d,4.9652229,747.288,10.43,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,51.27,10.32
TIC 77253676,77253676,TOI-697 b,8.6078871,498.842,9.355,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,51.42,5.97
TIC 77287067,77287067,NGTS-23 b,4.0764326,11025.1,13.59,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,51.14,12.55
TIC 92449173,92449173,WASP-133 b,2.176423,7456.26,12.22,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,95,95,SPOC,120,21.56,9.90
TIC 94986319,94986319,TOI-421 c,16.067541,2903.63,9.271,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,50.84,3.16
TIC 95057860,95057860,TOI-4201 b,3.5819194,39601.6,13.5,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,50.85,14.19
TIC 97409519,97409519,WASP-124 b,3.37265,15607,12.19,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,95,95,SPOC,120,21.71,6.44
TIC 97825640,97825640,TOI-2989 b,3.122832,22934.2,12.71,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.56,7.22
TIC 100990000,100990000,TOI-411 c,9.573083,365.091,7.757,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,97,97,SPOC,120,50.35,5.26
TIC 101955023,101955023,GJ 1132 b,1.6289291,2443,10.84,catalog_pl_trandep,survey-wide known-planet recovery rate,9,9;10;36,SPOC,120,81,49.73
TIC 102192004,102192004,WASP-174 b,4.2337005,12018.6,11.33,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,101,101,SPOC,120,21.82,5.15
TIC 103633434,103633434,TOI-1235 b,3.444714,626.518,9.919,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,14,14;20;21,SPOC,120,81,23.51
TIC 104024556,104024556,WASP-167 b,2.0219596,8200,10.32,catalog_pl_trandep,survey-wide known-planet recovery rate,101,101,SPOC,120,22.16,10.96
TIC 106402532,106402532,TOI-733 b,4.884765,370.329,8.841,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,23.38,4.79
TIC 111991770,111991770,WASP-15 b,3.7521,9700,10.44,catalog_pl_trandep,survey-wide known-planet recovery rate,102,102,SPOC,120,21.42,5.71
TIC 112099249,112099249,WASP-184 b,5.1817,6900,12.16,catalog_pl_trandep,survey-wide known-planet recovery rate,102,102,SPOC,120,21.44,4.14
TIC 114749636,114749636,WASP-147 b,4.60273,6400,11.76,catalog_pl_trandep,survey-wide known-planet recovery rate,96,96,SPOC,120,21.94,4.77
TIC 116483514,116483514,TOI-1411 b,1.4520527,320.407,9.104,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,16,16;23;24,SPOC,120,81,55.78
TIC 117979897,117979897,WASP-141 b,3.310651,8300,12.07,catalog_pl_trandep,survey-wide known-planet recovery rate,98,98,SPOC,120,50.59,15.28
