target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,teff_k,stellar_radius_solar,stellar_mass_solar,distance_pc,luminosity_class,stellar_selection_tier,small_planet_merit,selection_rank
TIC 261486846,261486846,100,100,14.9,209.7442,-53.7444,3,4,3382.0,0.417185,0.410739,179.716,DWARF,0,2.220657,599
TIC 351172489,351172489,100,100,15.65,247.1698,-63.7317,4,1,3346.0,0.428197,0.42291,253.118,DWARF,0,2.393287,600
TIC 446678900,446678900,100,100,14.36,211.3507,-78.6029,4,2,3731.0,0.571824,0.564468,240.985,DWARF,0,2.386525,601
TIC 276645342,276645342,100,100,15.54,265.3512,-81.8832,4,3,3393.0,0.42851,0.423254,251.044,DWARF,0,2.371922,602
TIC 365431944,365431944,100,100,15.18,273.1151,-65.6953,4,4,3333.0,0.382284,0.371351,184.56,DWARF,0,2.200772,603
TIC 71222521,71222521,100,100,11.88,154.1911,-31.1472,1,1,,,,99.131,UNKNOWN,5,999.0,604
TIC 410427329,410427329,100,100,15.6,167.2945,-20.415,1,2,31000.0,0.18,0.47,1238.79,DWARF,2,1.630545,605
TIC 192544822,192544822,100,100,15.09,154.6863,-18.1521,1,4,,,,1125.59,UNKNOWN,5,999.0,606
TIC 80840984,80840984,100,100,14.31,166.0446,-51.4305,2,1,3784.0,0.562531,0.556387,238.898,DWARF,0,2.362293,607
TIC 73089465,73089465,100,100,14.03,189.7574,-45.1846,2,2,3046.0,0.467689,0.465234,,DWARF,0,2.145914,608
